FY2022 ISD External Certified Public Accounting Firms,Regions,,,,,,,,,,,,,,,,,,,,
Firms,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,Total
"Weaver & Tidwell, L.L.P. - Houston",,,1,,,,,,,,,,,,,,1,,,,
Whitley Penn LLP - Houston,,,5,,,,,,1,1,,,,,1,1,9,,,,
"Yoe CPA, LLC",,,1,,,,,,,,,,,,,,1,,,,
Grand Total,6,4,39,3,3,5,34,15,5,17,1,1,3,2,7,29,174,,,,
,,,,,,,,,,,,,,,,,,,,,
FY2022 Charter School ISD External Certified Public Accounting Firms,Region,,,,,,,,,,,,,,,,,,,,
Firms,4,6,7,10,11,13,18,Total,,,,,,,,,,,,,
"Belt Harris Pechacek, LLLP - Houston",,1,1,,,1,1,4,,,,,,,,,,,,,
"Brooks Watson & Co., PLLC",,,,,1,,,1,,,,,,,,,,,,,
Deloitte & Touche LLP - Dallas,,,,1,,,,1,,,,,,,,,,,,,
"Goff & Herrington, P.C.",,,1,,,,,1,,,,,,,,,,,,,
"McConnell & Jones, LLP - Dallas",,,,1,,,,1,,,,,,,,,,,,,
"Melton & Melton, L.L.P.",1,,,,,,,1,,,,,,,,,,,,,
"West, Davis & Company, LLP",,,,,,1,,1,,,,,,,,,,,,,
Total,1,1,2,2,1,2,1,10,,,,,,,,,,,,,
